id,name,brand,sourceOrigin,currentStatus,proposedStatus,productScope,category,categoryAnomaly,expectedCategory,duplicateStatus,variantStatus,jan,officialSource,sourceQuality,price,priceWarning,brandStatus,verifiedCandidate,reason
249,ワフードメイド 酒粕洗顔(170g),ワフードメイド,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4961989409177,,D,904,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
250,花王｜Kao ビオレ ザフェイス 泡洗顔料 オイルコントロール プラス 本体 200ml,花王,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4901301453075,,D,880,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
251,エバメール ソフト洗顔フォーム,エバメール,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4571262440836,,D,1938,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
252,サボン フェイスポリッシャー リラクシング ラベンダー 200ml,サボン,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4589684764003,,D,6480,high-outlier,normal,false,価格:high-outlier
253,10月5日 WAKARA 和から 練り石けん和から 130g,和から,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4589987710028,,D,2750,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
254,ウーノ ホイップウォッシュ モイスト f(130g),ウーノ(uno),rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4550516494627,,D,328,none,normal,true,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
255,コモライフ YJエコ・フォームホワイト（洗顔料）,山甚物産,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4993069900038,,D,4180,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
256,シュクレ マッサージ&パック シトラス,シュクレー,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4562174740411,,D,3300,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
257,モーニングウォッシュジェリーピンクグレープフルーツ,ヒューマンリソースコミュニケーションズ,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4560202021051,,D,2864,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
258,コサナ マヌカとオリゴの泡洗顔 200ml,コサナ,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4582259157156,,D,1944,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
259,ニベア クリアビューティー弱酸性泡洗顔 もっちり美肌 本体(150ml),ニベア,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4901301394996,,D,460,none,normal,true,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
260,シンエイ そのまま!ハトムギエキス 泡ソープ リッチ 500ml,シンエイ,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4571128836612,,D,2240,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
261,豆腐の盛田屋 赤大豆 豆乳せっけん 自然生活,豆腐の盛田屋,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4560147176458,,D,1920,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
262,メラノCC ディープクリア酵素洗顔(130g),メラノCC,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4987241173242,,D,558,none,normal,true,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
263,エクセルーラ ムースウォッシュ(150g),エクセルーラ,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4987316094298,,D,2349,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
264,Deve｜ディブ ディブ 炭＆泥 洗顔ジェル 200g,熊野油脂,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4513574039094,,D,385,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
265,肌美精 CHOI 薬用泡洗顔 ニキビケア(160ml),肌美精,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4901417629265,,D,602,none,normal,true,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
266,スフ ソープ ミスティックガーデン(120g),スフ(Sufu),rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4976631813103,,D,2385,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
267,メンズビオレ ザフェイス うるおいケア 本体(200ml),メンズビオレ,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4901301439789,,D,619,none,normal,true,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
268,クレンジングリサーチ ソープ スクラブ＆ピール(100g),クレンジングリサーチ,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4515061013617,,D,880,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
269,メンソレータム アクネス 薬用ふわふわな泡洗顔(160ml),アクネス,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4987241199358,,D,506,none,normal,true,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
270,mdレセプト2 クレンジングフォーム,エムディ化粧品,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4947130100025,,D,3300,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
271,ダヴ パールシャイン 透明つや肌 洗顔料 本体(140g),ダヴ(Dove),rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4902111782652,,D,467,none,normal,true,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
272,ダヴ ビューティモイスチャークリーミー泡洗顔料(160ml),ダヴ(Dove) 泡洗顔,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4902111736891,,D,608,none,extraction-candidate,false,ブランド:extraction-candidate
273,ワイエスパークプロフェッショナル YSパーク エシカルソープ 20g,ワイ.エス.パークプロフェッショナル,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4981104130113,,D,513,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
