cohort,id,name,brand,category,productStatus,editorialUse,mainChars,specificChars,titleChars,metaDescriptionChars,ingredientCount,skinCount,concernCount,prosCount,consCount,uniqueSectionCount,officialSourceCount,officialProductPage,officialBrandOnly,pressRelease,domesticOfficial,verifiedAt,updatedAt,contentAmount,spf,pa,classification,activeIngredients,usage,manufacturerTarget,manufacturerFeatures,freeFrom,countryOfOrigin,specCount,comparisonCandidateCount,inboundTotal,fromProducts,fromBrands,fromRanking,fromColumns,fromGuides,fromRelatedProducts,identicalSentenceRate,duplicateSentenceCount,maxSimilarity,nearDuplicateId,sameCategorySimilarity,sameCategoryNearId
過去未登録40,95,CNP Laboratory プロポリス アンプルミスト,CNP,化粧水,現在比較対象,公開情報のみ,1334,391,47,95,3,2,2,0,0,4,1,1,0,0,1,2026-08-10,2026-08-10,100mL,,,,,メイクの上からも使用可能,,プロポリスエキスを保湿成分として配合した100mLのミスト化粧水です。 / きめ細かなミストで、メイクの上からも使用できると案内されています。,,韓国,4,3,2,1,1,0,0,0,0,0.14285714285714285,2,0.15081967213114755,186,0.10112359550561797,10
過去未登録40,10,ナチュリエ ハトムギ化粧水,イミュ,化粧水,現在比較対象,公開情報のみ,1433,489,32,82,2,3,2,0,0,3,2,1,0,0,1,2026-08-10,2026-08-10,500mL,,,,,顔・からだに使用可能。重ねづけやローションパックにも使用可能,,500mLの容量があり、顔だけでなく全身にも使えるとメーカーが案内しています。 / ハトムギエキスを保湿成分として配合し、アルコール・香料・着色料を使わない仕様です。,香料・着色料・オイル・界面活性剤不使用,日本,6,3,14,1,1,0,9,2,1,0.17647058823529413,3,0.18574108818011256,37,0.10112359550561797,95
過去未登録40,36,NUMBUZIN 3番 すべすべキメケアセラム,numbuzin,美容液,現在比較対象,公開情報のみ,1419,401,42,103,3,3,2,0,0,3,1,1,0,0,1,2026-08-10,2026-08-10,50mL,,,,,,,国内公式で確認できる商品名は『3番 すべすべキメケアセラム』で、内容量は50mLです。 / 国内公式ページは『キメケア』を商品識別の中心にしています。,,韓国,3,3,10,1,1,0,6,2,0,0.21428571428571427,3,0.0975609756097561,23,0.0975609756097561,23
過去未登録40,40,キュレル 潤浸保湿フェイスクリーム,キュレル,保湿クリーム,現在比較対象,公開情報のみ,1598,532,36,78,3,2,2,0,0,4,2,1,0,0,1,2026-08-10,2026-08-10,通常品40g（公式セット情報で確認）,,,医薬部外品,アラントイン,化粧水・乳液後、直径約2cmを目安に使用,,肌荒れ防止有効成分アラントインを配合した医薬部外品です。 / セラミド機能成分とユーカリエキスを保湿成分として配合しています。 / 無香料・無着色・アルコールフリーの仕様が公式に明示されています。,無香料・無着色・アルコールフリー,日本,9,3,4,1,1,0,0,0,2,0.05263157894736842,1,0.16323024054982818,142,0.16323024054982818,142
過去未登録40,205,d プログラム 薬用 アクネケア美容液,資生堂,美容液,現在比較対象,公開情報のみ,1489,455,38,93,2,2,2,0,0,4,2,1,0,0,1,2026-08-10,2026-08-10,15g,,,医薬部外品,トラネキサム酸、グリチルリチン酸ジカリウム,化粧水後、気になる部分に使用。メイクの上からも使用可能,,トラネキサム酸とグリチルリチン酸ジカリウムを有効成分とする15gの部分用美容液です。 / 透明ジェルのオイルフリー処方で、化粧水後またはメイクの上から使えます。,,日本,9,3,2,1,1,0,0,0,0,0.17647058823529413,3,0.10030395136778116,16,0.07407407407407407,28
過去未登録40,157,KOSE 雪肌精 みずみずしい化粧水,コーセー,化粧水,現在比較対象,公開情報のみ,1461,462,37,102,3,2,2,0,0,4,1,0,0,0,1,2026-08-10,2026-08-10,現行品は200mL・350mL,,,医薬部外品,グリチルレチン酸ステアリルW,,,公式で現在確認できる雪肌精の化粧水は、2024年刷新の薬用ブライトニング エッセンス ローションです。 / 現行品は200mLと350mLがあり、医薬部外品として有効成分が明示されています。,,日本,5,3,2,1,1,0,0,0,0,0,0,0.10973451327433628,17,0.10973451327433628,17
過去未登録40,199,ぬちまーす リュウミネ 石鹸,ぬちまーす,洗顔,関連カテゴリ,公開情報のみ,1309,359,33,87,0,2,2,0,0,3,1,0,0,0,0,2026-08-10,2026-08-10,80g,,,,,,,メーカー公式資料で確認できた商品名は『リュウミネ 石鹸』、内容量は80gです。 / 公式資料で確認できない無添加項目や敏感肌への適合は断定していません。,,日本,3,3,3,1,1,0,0,1,0,0,0,0.09188034188034189,36,0.062370062370062374,196
過去未登録40,19,DEW ローション コンセントレート,カネボウ,化粧水,現在比較対象,公開情報のみ,1403,430,37,88,3,2,2,0,0,3,1,0,0,0,1,2026-08-10,2026-08-10,現行品は150mL,,,,,1回2プッシュが目安,,公式で確認できた現行ローションは、使用感の異なる3タイプから選ぶ設計です。 / 現行品はヒアルロン酸Naなどを含む保湿成分複合体を採用しています。,,日本,5,3,2,1,1,0,0,0,0,0.0625,1,0.14066496163682865,167,0.14066496163682865,167
過去未登録40,22,Anua PDRN ヒアルロン酸カプセル100セラム,Anua,美容液,現在比較対象,公開情報のみ,1454,446,45,95,3,3,2,0,0,4,1,1,0,0,1,2026-08-10,2026-08-10,30mL,,,,,化粧水後、スポイト1回分を顔になじませる,,DNA-Na、ヒアルロン酸、加水分解コラーゲンを組み合わせた美容液です。 / 商品名の『100』は成分濃度ではなく、メーカーが説明するカプセル設計の呼称です。,人工色素・人工香料不使用,韓国,6,3,66,1,1,2,4,1,57,0,0,0.11992263056092843,23,0.11992263056092843,23
過去未登録40,28,メラノCC 薬用しみ集中対策 美容液,ロート製薬,美容液,現在比較対象,編集部実使用あり,1620,534,37,89,3,2,2,0,0,4,2,1,0,0,0,2026-08-10,2026-08-10,20mL,,,医薬部外品,アスコルビン酸、トコフェロール酢酸エステル、イソプロピルメチルフェノール、グリチルリチン酸ジカリウム,化粧水後、気になる部分または顔全体に使用。1回4〜5滴が目安,,活性型ビタミンCとビタミンE誘導体を有効成分として配合した医薬部外品です。 / 1回4〜5滴を目安に、化粧水後の全顔または部分使いが案内されています。 / 標準品とプレミアム品は有効成分・うるおい成分の構成が異なります。,,日本,6,3,12,1,1,0,9,0,1,0.21052631578947367,4,0.1378504672897196,244,0.1378504672897196,244
