cohort,id,name,brand,category,productStatus,editorialUse,mainChars,specificChars,titleChars,metaDescriptionChars,ingredientCount,skinCount,concernCount,prosCount,consCount,uniqueSectionCount,officialSourceCount,officialProductPage,officialBrandOnly,pressRelease,domesticOfficial,verifiedAt,updatedAt,contentAmount,spf,pa,classification,activeIngredients,usage,manufacturerTarget,manufacturerFeatures,freeFrom,countryOfOrigin,specCount,comparisonCandidateCount,inboundTotal,fromProducts,fromBrands,fromRanking,fromColumns,fromGuides,fromRelatedProducts,identicalSentenceRate,duplicateSentenceCount,maxSimilarity,nearDuplicateId,sameCategorySimilarity,sameCategoryNearId
過去未登録40,95,CNP Laboratory プロポリス アンプルミスト,CNP,化粧水,現在比較対象,公開情報のみ,1032,126,39,109,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,韓国,0,0,2,1,1,0,0,0,0,0.25,1,0.35135135135135137,186,0.10982658959537572,11
過去未登録40,10,ナチュリエ ハトムギ化粧水,イミュ,化粧水,現在比較対象,公開情報のみ,1036,108,24,90,2,3,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,日本,0,0,13,1,1,0,9,2,0,0.25,1,0.25806451612903225,89,0.1032258064516129,157
過去未登録40,36,NUMBUZIN 3番 すべすべキメケアセラム,numbuzin,美容液,現在比較対象,公開情報のみ,1069,128,39,107,3,3,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,韓国,0,0,10,1,1,0,6,2,0,0.5,3,0.22916666666666666,90,0.22916666666666666,90
過去未登録40,40,キュレル 潤浸保湿フェイスクリーム,キュレル,保湿クリーム,現在比較対象,公開情報のみ,1058,117,29,98,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,日本,0,0,2,1,1,0,0,0,0,0.25,1,0.3108108108108108,243,0.3108108108108108,243
過去未登録40,205,d プログラム 薬用 アクネケア エッセンス,資生堂,美容液,現在比較対象,公開情報のみ,1038,122,33,101,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,日本,0,0,2,1,1,0,0,0,0,0.4,2,0.3356164383561644,16,0.11046511627906977,33
過去未登録40,157,KOSE 雪肌精 みずみずしい化粧水,コーセー,化粧水,現在比較対象,公開情報のみ,1014,116,30,99,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,日本,0,0,2,1,1,0,0,0,0,0.3333333333333333,1,0.3475177304964539,79,0.3475177304964539,79
過去未登録40,199,ぬちまーす 洗顔石けん,ぬちまーす,洗顔,関連カテゴリ,公開情報のみ,1018,113,24,93,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,日本,0,0,3,1,1,0,0,1,0,0.25,1,0.11428571428571428,195,0.11428571428571428,195
過去未登録40,19,DEW ローション コンセントレート,カネボウ,化粧水,現在比較対象,公開情報のみ,1017,119,30,99,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,日本,0,0,2,1,1,0,0,0,0,0.25,1,0.3776223776223776,167,0.3776223776223776,167
過去未登録40,22,Anua PDRN ヒアルロン酸カプセル100セラム,Anua,美容液,現在比較対象,公開情報のみ,1088,131,38,113,3,3,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,韓国,0,0,65,1,1,2,4,1,56,0,0,0.15853658536585366,117,0.12121212121212122,72
過去未登録40,28,メラノCC 薬用しみ集中対策 美容液,ロート製薬,美容液,現在比較対象,編集部実使用あり,1083,120,31,99,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,日本,0,0,11,1,1,0,9,0,0,0.5,3,0.3051948051948052,244,0.3051948051948052,244
