cohort,id,name,brand,category,productStatus,editorialUse,mainChars,specificChars,titleChars,metaDescriptionChars,ingredientCount,skinCount,concernCount,prosCount,consCount,uniqueSectionCount,officialSourceCount,officialProductPage,officialBrandOnly,pressRelease,domesticOfficial,verifiedAt,updatedAt,contentAmount,spf,pa,classification,activeIngredients,usage,manufacturerTarget,manufacturerFeatures,freeFrom,countryOfOrigin,specCount,comparisonCandidateCount,inboundTotal,fromProducts,fromBrands,fromRanking,fromColumns,fromGuides,fromRelatedProducts,identicalSentenceRate,duplicateSentenceCount,maxSimilarity,nearDuplicateId,sameCategorySimilarity,sameCategoryNearId
過去未登録40,95,CNP Laboratory プロポリス アンプルミスト,CNP,化粧水,現在比較対象,公開情報のみ,1032,126,39,109,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,韓国,0,0,2,1,1,0,0,0,0,0.25,1,0.35135135135135137,186,0.10982658959537572,11
過去未登録40,10,ナチュリエ ハトムギ化粧水,イミュ,化粧水,現在比較対象,公開情報のみ,1452,489,32,82,2,3,2,0,0,4,2,1,0,0,1,2026-08-10,2026-08-10,500mL,,,,,顔・からだに使用可能。重ねづけやローションパックにも使用可能,,500mLの容量があり、顔だけでなく全身にも使えるとメーカーが案内しています。 / ハトムギエキスを保湿成分として配合し、アルコール・香料・着色料を使わない仕様です。,香料・着色料・オイル・界面活性剤不使用,日本,6,3,13,1,1,0,9,2,0,0.058823529411764705,1,0.13731825525040386,40,0.046948356807511735,86
過去未登録40,36,NUMBUZIN 3番 すべすべキメケアセラム,numbuzin,美容液,現在比較対象,公開情報のみ,1069,128,39,107,3,3,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,韓国,0,0,10,1,1,0,6,2,0,0.5,3,0.22916666666666666,90,0.22916666666666666,90
過去未登録40,40,キュレル 潤浸保湿フェイスクリーム,キュレル,保湿クリーム,現在比較対象,公開情報のみ,1604,532,36,78,3,2,2,0,0,4,2,1,0,0,1,2026-08-10,2026-08-10,通常品40g（公式セット情報で確認）,,,医薬部外品,アラントイン,化粧水・乳液後、直径約2cmを目安に使用,,肌荒れ防止有効成分アラントインを配合した医薬部外品です。 / セラミド機能成分とユーカリエキスを保湿成分として配合しています。 / 無香料・無着色・アルコールフリーの仕様が公式に明示されています。,無香料・無着色・アルコールフリー,日本,9,3,2,1,1,0,0,0,0,0.05263157894736842,1,0.13731825525040386,10,0.1223021582733813,243
過去未登録40,205,d プログラム 薬用 アクネケア エッセンス,資生堂,美容液,現在比較対象,公開情報のみ,1038,122,33,101,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,日本,0,0,2,1,1,0,0,0,0,0.4,2,0.3356164383561644,16,0.11046511627906977,33
過去未登録40,157,KOSE 雪肌精 みずみずしい化粧水,コーセー,化粧水,現在比較対象,公開情報のみ,1014,116,30,99,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,日本,0,0,2,1,1,0,0,0,0,0.3333333333333333,1,0.3475177304964539,79,0.3475177304964539,79
過去未登録40,199,ぬちまーす 洗顔石けん,ぬちまーす,洗顔,関連カテゴリ,公開情報のみ,1018,113,24,93,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,日本,0,0,3,1,1,0,0,1,0,0.25,1,0.11428571428571428,195,0.11428571428571428,195
過去未登録40,19,DEW ローション コンセントレート,カネボウ,化粧水,現在比較対象,公開情報のみ,1017,119,30,99,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,日本,0,0,2,1,1,0,0,0,0,0.25,1,0.3776223776223776,167,0.3776223776223776,167
過去未登録40,22,Anua PDRN ヒアルロン酸カプセル100セラム,Anua,美容液,現在比較対象,公開情報のみ,1088,131,38,113,3,3,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,韓国,0,0,65,1,1,2,4,1,56,0,0,0.15853658536585366,117,0.12121212121212122,72
過去未登録40,28,メラノCC 薬用しみ集中対策 美容液,ロート製薬,美容液,現在比較対象,編集部実使用あり,1601,534,37,89,3,2,2,0,0,4,2,1,0,0,0,2026-08-10,2026-08-10,20mL,,,医薬部外品,アスコルビン酸、トコフェロール酢酸エステル、イソプロピルメチルフェノール、グリチルリチン酸ジカリウム,化粧水後、気になる部分または顔全体に使用。1回4〜5滴が目安,,活性型ビタミンCとビタミンE誘導体を有効成分として配合した医薬部外品です。 / 1回4〜5滴を目安に、化粧水後の全顔または部分使いが案内されています。 / 標準品とプレミアム品は有効成分・うるおい成分の構成が異なります。,,日本,6,3,11,1,1,0,9,0,0,0.15789473684210525,3,0.1378504672897196,244,0.1378504672897196,244
過去未登録40,203,ロート製薬 メラノCC ディープデイケアUV乳液,ロート製薬,日焼け止め,現在比較対象,公開情報のみ,1015,122,37,110,3,2,1,0,0,4,0,0,0,0,0,,,,,,,,,,,,日本,0,0,4,1,1,0,0,1,1,0.25,1,0.16265060240963855,173,0.15625,59
過去未登録40,24,オバジ C25セラム ネオ,ロート製薬,美容液,現在比較対象,公開情報のみ,1055,118,26,97,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,日本,0,0,11,1,1,0,7,2,0,0.2,1,0.27692307692307694,32,0.27692307692307694,32
過去未登録40,17,ハダラボ 白潤プレミアム 薬用浸透美白化粧水,ロート製薬,化粧水,現在比較対象,公開情報のみ,1043,127,35,105,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,日本,0,0,4,1,1,0,2,0,0,0.25,1,0.19631901840490798,161,0.19631901840490798,161
過去未登録40,64,我的美麗日記（私のきれい日記）黒真珠マスク,我的美麗日記,パック・マスク,現在比較対象,公開情報のみ,1061,115,35,105,2,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,台湾,0,0,3,1,1,0,0,0,1,0,0,0.15584415584415584,63,0.15584415584415584,63
過去未登録40,75,エスティローダー アドバンス ナイト リペア,エスティローダー,美容液,前世代,公開情報のみ,1079,131,38,116,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,アメリカ,0,0,1,1,0,0,0,0,0,0.25,1,0.5616438356164384,178,0.5616438356164384,178
過去未登録40,135,DHC 薬用ディープクレンジングオイル,DHC,洗顔,現在比較対象,公開情報のみ,1006,122,30,103,3,2,1,0,0,4,0,0,0,0,0,,,,,,,,,,,,日本,0,0,3,1,1,0,0,0,1,0.16666666666666666,1,0.19014084507042253,85,0.19014084507042253,85
過去未登録40,196,グーダル 青みかんビタCクレンジングフォームΩ,goodal,洗顔,関連カテゴリ,公開情報のみ,1038,130,37,108,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,韓国,0,0,2,1,1,0,0,0,0,0.4,2,0.15606936416184972,161,0.11046511627906977,135
過去未登録40,179,VT リードルショット 300,VT Cosmetics,美容液,現在比較対象,公開情報のみ,1059,147,35,123,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,韓国,0,0,3,1,1,0,0,1,0,0.42857142857142855,3,0.5174825174825175,153,0.5174825174825175,153
過去未登録40,82,ビオデルマ サンシビオ エイチツーオー D,ビオデルマ,洗顔,現在比較対象,公開情報のみ,1017,113,34,103,2,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,フランス,0,0,3,1,1,0,0,1,0,0,0,0.08441558441558442,195,0.08441558441558442,195
過去未登録40,39,AESTURA アトバリア365 クリーム,AESTURA,保湿クリーム,現在比較対象,公開情報のみ,1095,126,36,110,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,韓国,0,0,47,1,1,3,0,1,41,0,0,0.1895424836601307,97,0.18064516129032257,45
過去未登録40,142,コーセー 米肌 活潤リフト クリーム,コーセー,保湿クリーム,現在比較対象,公開情報のみ,1046,124,30,103,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,日本,0,0,3,1,1,0,0,1,0,0.25,1,0.2602739726027397,146,0.23972602739726026,116
過去未登録40,38,クレ・ド・ポー ボーテ ラ クレームN,資生堂,保湿クリーム,現在比較対象,公開情報のみ,1109,128,30,109,3,3,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,日本,0,0,46,1,1,1,1,1,40,0.25,1,0.15151515151515152,162,0.15151515151515152,162
過去未登録40,37,ニベアクリーム 大缶,ニベア,保湿クリーム,現在比較対象,公開情報のみ,1031,106,21,96,3,2,1,0,0,4,0,0,0,0,0,,,,,,,,,,,,ドイツ,0,0,4,1,1,0,2,0,0,0,0,0.12213740458015267,154,0.11038961038961038,98
過去未登録40,206,CICA デイリースージングトナーパッド メガ,VT Cosmetics,化粧水,現在比較対象,公開情報のみ,1035,129,43,115,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,韓国,0,0,4,1,1,0,0,2,0,0.4,2,0.25157232704402516,65,0.1952662721893491,15
過去未登録40,177,コーセー 米肌 肌潤改善エッセンス,コーセー,美容液,現在比較対象,公開情報のみ,1092,135,29,112,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,日本,0,0,2,1,1,0,0,0,0,0.4,2,0.4846153846153846,18,0.12154696132596685,124
過去未登録40,23,メディキューブ PDRN ピンクアンプル,MEDICUBE,美容液,現在比較対象,公開情報のみ,1064,131,36,115,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,韓国,0,0,4,1,1,0,1,1,0,0.4,2,0.17613636363636365,67,0.16847826086956522,127
過去未登録40,49,ファンケル マイルドクレンジングオイル,ファンケル,洗顔,現在比較対象,公開情報のみ,1423,456,38,93,2,2,1,0,0,4,1,1,0,0,1,2026-08-10,2026-08-10,120mL,,,,,適量をメイクとなじませ、水またはぬるま湯で洗い流す,,120mLのオイルタイプのメイク落としで、ぬれた手でも使えると案内されています。 / 一般的なグルーを使ったまつげエクステでの使用条件が公式ページに明示されています。,,日本,5,3,3,1,1,1,0,0,0,0.0625,1,0.0708215297450425,135,0.0708215297450425,135
過去未登録40,3,無印良品 化粧水 敏感肌用 高保湿タイプ,無印良品,化粧水,現在比較対象,公開情報のみ,1060,124,32,104,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,日本,0,0,5,1,1,0,3,0,0,0.4,2,0.1503267973856209,55,0.14102564102564102,214
