left,right,score,sameCategory,leftName,rightName
217,227,0.7666666666666667,true,メンズビオレ 泡タイプ洗顔 つめかえ,メンズビオレ ダブルスクラブ洗顔
227,230,0.7386363636363636,true,メンズビオレ ダブルスクラブ洗顔,メンズビオレ ミクロスクラブ洗顔
210,231,0.6842105263157895,false,ニベアメン アクティブエイジローション,ニベアメン アクティブエイジクリーム
217,230,0.6421052631578947,true,メンズビオレ 泡タイプ洗顔 つめかえ,メンズビオレ ミクロスクラブ洗顔
226,233,0.6116504854368932,true,ニベアメン フェイスウォッシュ モイスト,OXY ディープウォッシュ 130g
238,239,0.6036036036036037,true,ニベアメン センシティブ クール アフターシェーブバーム,ギャツビー プレシェーブ ローション
227,233,0.6,true,メンズビオレ ダブルスクラブ洗顔,OXY ディープウォッシュ 130g
226,227,0.5882352941176471,true,ニベアメン フェイスウォッシュ モイスト,メンズビオレ ダブルスクラブ洗顔
247,248,0.5859872611464968,false,クラシエ 肌美精 大人のニキビ対策 薬用美白化粧水 200mL 医薬部外品,肌美精 大人のニキビ対策 薬用美白クリーム 50g 医薬部外品
217,233,0.5825242718446602,true,メンズビオレ 泡タイプ洗顔 つめかえ,OXY ディープウォッシュ 130g
216,233,0.5803571428571429,true,ギャツビー フェイシャルウォッシュ パーフェクトスクラブ,OXY ディープウォッシュ 130g
239,240,0.5726495726495726,true,ギャツビー プレシェーブ ローション,POLA ポーラ ギャラントムII アフターシェーブローション 180ml 男性用
217,226,0.5714285714285714,true,メンズビオレ 泡タイプ洗顔 つめかえ,ニベアメン フェイスウォッシュ モイスト
219,226,0.5630252100840336,true,リップスボーイ 薬用フェイスウォッシュ 150ml 濃密 泡洗顔 メンズ,ニベアメン フェイスウォッシュ モイスト
75,178,0.5616438356164384,true,エスティローダー アドバンス ナイト リペア,エスティローダー アドバンス ナイト リペア SMR コンプレックス
219,233,0.559322033898305,true,リップスボーイ 薬用フェイスウォッシュ 150ml 濃密 泡洗顔 メンズ,OXY ディープウォッシュ 130g
216,227,0.5585585585585585,true,ギャツビー フェイシャルウォッシュ パーフェクトスクラブ,メンズビオレ ダブルスクラブ洗顔
216,226,0.5565217391304348,true,ギャツビー フェイシャルウォッシュ パーフェクトスクラブ,ニベアメン フェイスウォッシュ モイスト
238,240,0.5447154471544715,true,ニベアメン センシティブ クール アフターシェーブバーム,POLA ポーラ ギャラントムII アフターシェーブローション 180ml 男性用
209,213,0.543859649122807,true,UNO スキンセラムウォーター f 化粧水 200mL,マーロ MARO17 スキンローション 180ml MARO 化粧水・ローション
